Lithium Nitrite	LiNO2
Lithium Nitrate	LiNO3
Lithium Hydrogen Sulfate	LiHSO4
Lithium Hydroxide	LiOH
Lithium Cyanide	LiCN
Lithium Permanganate	LiMnO4
Lithium Hydrogen Carbonate	LiHCO3
Lithium Hypochlorite	LiClO
Lithium Chlorite	LiClO2
Lithium Chlorate	LiClO3
Lithium Perchlorate	LiClO4
Lithium Bromate	LiBrO3
Lithium Iodate	LiIO3
Lithium Periodate	LiIO4
Lithium Acetate	LiC2H3O2
Lithium Dihydrogen Phosphate	LiH2PO4
Lithium Carbonate	Li2CO3
Lithium Sulfite	Li2SO3
Lithium Sulfate	Li2SO4
Lithium Thiosulfate	Li2S2O3
Lithium Peroxide	Li2O2
Lithium Chromate	Li2CrO4
Lithium Dichromate	Li2Cr2O7
Lithium Hydrogen Phosphate	Li2HPO4
Lithium Phosphate	Li3PO4
Lithium Arsenate	Li3AsO4
Lithium Nitride	Li3N
Lithium Phosphide	Li3P
Lithium Arsenide	Li3As
Lithium Oxide	Li2O
Lithium Sulfide	Li2S
Lithium Selenide	Li2Se
Lithium Telluride	Li2Te
Lithium Fluoride	LiF
Lithium Chloride	LiCl
Lithium Bromide	LiBr
Lithium Iodide	LiI
Sodium Nitrite	NaNO2
Sodium Nitrate	NaNO3
Sodium Hydrogen Sulfate	NaHSO4
Sodium Hydroxide	NaOH
Sodium Cyanide	NaCN
Sodium Permanganate	NaMnO4
Sodium Hydrogen Carbonate	NaHCO3
Sodium Hypochlorite	NaClO
Sodium Chlorite	NaClO2
Sodium Chlorate	NaClO3
Sodium Perchlorate	NaClO4
Sodium Bromate	NaBrO3
Sodium Iodate	NaIO3
Sodium Periodate	NaIO4
Sodium Acetate	NaC2H3O2
Sodium Dihydrogen Phosphate	NaH2PO4
Sodium Carbonate	Na2CO3
Sodium Sulfite	Na2SO3
Sodium Sulfate	Na2SO4
Sodium Thiosulfate	Na2S2O3
Sodium Peroxide	Na2O2
Sodium Chromate	Na2CrO4
Sodium Dichromate	Na2Cr2O7
Sodium Hydrogen Phosphate	Na2HPO4
Sodium Phosphate	Na3PO4
Sodium Arsenate	Na3AsO4
Sodium Nitride	Na3N
Sodium Phosphide	Na3P
Sodium Arsenide	Na3As
Sodium Oxide	Na2O
Sodium Sulfide	Na2S
Sodium Selenide	Na2Se
Sodium Telluride	Na2Te
Sodium Fluoride	NaF
Sodium Chloride	NaCl
Sodium Bromide	NaBr
Sodium Iodide	NaI
Potassium Nitrite	KNO2
Potassium Nitrate	KNO3
Potassium Hydrogen Sulfate	KHSO4
Potassium Hydroxide	KOH
Potassium Cyanide	KCN
Potassium Permanganate	KMnO4
Potassium Hydrogen Carbonate	KHCO3
Potassium Hypochlorite	KClO
Potassium Chlorite	KClO2
Potassium Chlorate	KClO3
Potassium Perchlorate	KClO4
Potassium Bromate	KBrO3
Potassium Iodate	KIO3
Potassium Periodate	KIO4
Potassium Acetate	KC2H3O2
Potassium Dihydrogen Phosphate	KH2PO4
Potassium Carbonate	K2CO3
Potassium Sulfite	K2SO3
Potassium Sulfate	K2SO4
Potassium Thiosulfate	K2S2O3
Potassium Peroxide	K2O2
Potassium Chromate	K2CrO4
Potassium Dichromate	K2Cr2O7
Potassium Hydrogen Phosphate	K2HPO4
Potassium Phosphate	K3PO4
Potassium Arsenate	K3AsO4
Potassium Nitride	K3N
Potassium Phosphide	K3P
Potassium Arsenide	K3As
Potassium Oxide	K2O
Potassium Sulfide	K2S
Potassium Selenide	K2Se
Potassium Telluride	K2Te
Potassium Fluoride	KF
Potassium Chloride	KCl
Potassium Bromide	KBr
Potassium Iodide	KI
Rubidium Nitrite	RbNO2
Rubidium Nitrate	RbNO3
Rubidium Hydrogen Sulfate	RbHSO4
Rubidium Hydroxide	RbOH
Rubidium Cyanide	RbCN
Rubidium Permanganate	RbMnO4
Rubidium Hydrogen Carbonate	RbHCO3
Rubidium Hypochlorite	RbClO
Rubidium Chlorite	RbClO2
Rubidium Chlorate	RbClO3
Rubidium Perchlorate	RbClO4
Rubidium Bromate	RbBrO3
Rubidium Iodate	RbIO3
Rubidium Periodate	RbIO4
Rubidium Acetate	RbC2H3O2
Rubidium Dihydrogen Phosphate	RbH2PO4
Rubidium Carbonate	Rb2CO3
Rubidium Sulfite	Rb2SO3
Rubidium Sulfate	Rb2SO4
Rubidium Thiosulfate	Rb2S2O3
Rubidium Peroxide	Rb2O2
Rubidium Chromate	Rb2CrO4
Rubidium Dichromate	Rb2Cr2O7
Rubidium Hydrogen Phosphate	Rb2HPO4
Rubidium Phosphate	Rb3PO4
Rubidium Arsenate	Rb3AsO4
Rubidium Nitride	Rb3N
Rubidium Phosphide	Rb3P
Rubidium Arsenide	Rb3As
Rubidium Oxide	Rb2O
Rubidium Sulfide	Rb2S
Rubidium Selenide	Rb2Se
Rubidium Telluride	Rb2Te
Rubidium Fluoride	RbF
Rubidium Chloride	RbCl
Rubidium Bromide	RbBr
Rubidium Iodide	RbI
Cesium Nitrite	CsNO2
Cesium Nitrate	CsNO3
Cesium Hydrogen Sulfate	CsHSO4
Cesium Hydroxide	CsOH
Cesium Cyanide	CsCN
Cesium Permanganate	CsMnO4
Cesium Hydrogen Carbonate	CsHCO3
Cesium Hypochlorite	CsClO
Cesium Chlorite	CsClO2
Cesium Chlorate	CsClO3
Cesium Perchlorate	CsClO4
Cesium Bromate	CsBrO3
Cesium Iodate	CsIO3
Cesium Periodate	CsIO4
Cesium Acetate	CsC2H3O2
Cesium Dihydrogen Phosphate	CsH2PO4
Cesium Carbonate	Cs2CO3
Cesium Sulfite	Cs2SO3
Cesium Sulfate	Cs2SO4
Cesium Thiosulfate	Cs2S2O3
Cesium Peroxide	Cs2O2
Cesium Chromate	Cs2CrO4
Cesium Dichromate	Cs2Cr2O7
Cesium Hydrogen Phosphate	Cs2HPO4
Cesium Phosphate	Cs3PO4
Cesium Arsenate	Cs3AsO4
Cesium Nitride	Cs3N
Cesium Phosphide	Cs3P
Cesium Arsenide	Cs3As
Cesium Oxide	Cs2O
Cesium Sulfide	Cs2S
Cesium Selenide	Cs2Se
Cesium Telluride	Cs2Te
Cesium Fluoride	CsF
Cesium Chloride	CsCl
Cesium Bromide	CsBr
Cesium Iodide	CsI
Beryllium Nitrite	Be(NO2)2
Beryllium Nitrate	Be(NO3)2
Beryllium Hydrogen Sulfate	Be(HSO4)2
Beryllium Hydroxide	Be(OH)2
Beryllium Cyanide	Be(CN)2
Beryllium Permanganate	Be(MnO4)2
Beryllium Hydrogen Carbonate	Be(HCO3)2
Beryllium Hypochlorite	Be(ClO)2
Beryllium Chlorite	Be(ClO2)2
Beryllium Chlorate	Be(ClO3)2
Beryllium Perchlorate	Be(ClO4)2
Beryllium Bromate	Be(BrO3)2
Beryllium Iodate	Be(IO3)2
Beryllium Periodate	Be(IO4)2
Beryllium Acetate	Be(C2H3O2)2
Beryllium Dihydrogen Phosphate	Be(H2PO4)2
Beryllium Carbonate	BeCO3
Beryllium Sulfite	BeSO3
Beryllium Sulfate	BeSO4
Beryllium Thiosulfate	BeS2O3
Beryllium Peroxide	BeO2
Beryllium Chromate	BeCrO4
Beryllium Dichromate	BeCr2O7
Beryllium Hydrogen Phosphate	BeHPO4
Beryllium Phosphate	Be3(PO4)2
Beryllium Arsenate	Be3(AsO4)2
Beryllium Nitride	Be3N2
Beryllium Phosphide	Be3P2
Beryllium Arsenide	Be3As2
Beryllium Oxide	BeO
Beryllium Sulfide	BeS
Beryllium Selenide	BeSe
Beryllium Telluride	BeTe
Beryllium Fluoride	BeF2
Beryllium Chloride	BeCl2
Beryllium Bromide	BeBr2
Beryllium Iodide	BeI2
Magnesium Nitrite	Mg(NO2)2
Magnesium Nitrate	Mg(NO3)2
Magnesium Hydrogen Sulfate	Mg(HSO4)2
Magnesium Hydroxide	Mg(OH)2
Magnesium Cyanide	Mg(CN)2
Magnesium Permanganate	Mg(MnO4)2
Magnesium Hydrogen Carbonate	Mg(HCO3)2
Magnesium Hypochlorite	Mg(ClO)2
Magnesium Chlorite	Mg(ClO2)2
Magnesium Chlorate	Mg(ClO3)2
Magnesium Perchlorate	Mg(ClO4)2
Magnesium Bromate	Mg(BrO3)2
Magnesium Iodate	Mg(IO3)2
Magnesium Periodate	Mg(IO4)2
Magnesium Acetate	Mg(C2H3O2)2
Magnesium Dihydrogen Phosphate	Mg(H2PO4)2
Magnesium Carbonate	MgCO3
Magnesium Sulfite	MgSO3
Magnesium Sulfate	MgSO4
Magnesium Thiosulfate	MgS2O3
Magnesium Peroxide	MgO2
Magnesium Chromate	MgCrO4
Magnesium Dichromate	MgCr2O7
Magnesium Hydrogen Phosphate	MgHPO4
Magnesium Phosphate	Mg3(PO4)2
Magnesium Arsenate	Mg3(AsO4)2
Magnesium Nitride	Mg3N2
Magnesium Phosphide	Mg3P2
Magnesium Arsenide	Mg3As2
Magnesium Oxide	MgO
Magnesium Sulfide	MgS
Magnesium Selenide	MgSe
Magnesium Telluride	MgTe
Magnesium Fluoride	MgF2
Magnesium Chloride	MgCl2
Magnesium Bromide	MgBr2
Magnesium Iodide	MgI2
Calcium Nitrite	Ca(NO2)2
Calcium Nitrate	Ca(NO3)2
Calcium Hydrogen Sulfate	Ca(HSO4)2
Calcium Hydroxide	Ca(OH)2
Calcium Cyanide	Ca(CN)2
Calcium Permanganate	Ca(MnO4)2
Calcium Hydrogen Carbonate	Ca(HCO3)2
Calcium Hypochlorite	Ca(ClO)2
Calcium Chlorite	Ca(ClO2)2
Calcium Chlorate	Ca(ClO3)2
Calcium Perchlorate	Ca(ClO4)2
Calcium Bromate	Ca(BrO3)2
Calcium Iodate	Ca(IO3)2
Calcium Periodate	Ca(IO4)2
Calcium Acetate	Ca(C2H3O2)2
Calcium Dihydrogen Phosphate	Ca(H2PO4)2
Calcium Carbonate	CaCO3
Calcium Sulfite	CaSO3
Calcium Sulfate	CaSO4
Calcium Thiosulfate	CaS2O3
Calcium Peroxide	CaO2
Calcium Chromate	CaCrO4
Calcium Dichromate	CaCr2O7
Calcium Hydrogen Phosphate	CaHPO4
Calcium Phosphate	Ca3(PO4)2
Calcium Arsenate	Ca3(AsO4)2
Calcium Nitride	Ca3N2
Calcium Phosphide	Ca3P2
Calcium Arsenide	Ca3As2
Calcium Oxide	CaO
Calcium Sulfide	CaS
Calcium Selenide	CaSe
Calcium Telluride	CaTe
Calcium Fluoride	CaF2
Calcium Chloride	CaCl2
Calcium Bromide	CaBr2
Calcium Iodide	CaI2
Strontium Nitrite	Sr(NO2)2
Strontium Nitrate	Sr(NO3)2
Strontium Hydrogen Sulfate	Sr(HSO4)2
Strontium Hydroxide	Sr(OH)2
Strontium Cyanide	Sr(CN)2
Strontium Permanganate	Sr(MnO4)2
Strontium Hydrogen Carbonate	Sr(HCO3)2
Strontium Hypochlorite	Sr(ClO)2
Strontium Chlorite	Sr(ClO2)2
Strontium Chlorate	Sr(ClO3)2
Strontium Perchlorate	Sr(ClO4)2
Strontium Bromate	Sr(BrO3)2
Strontium Iodate	Sr(IO3)2
Strontium Periodate	Sr(IO4)2
Strontium Acetate	Sr(C2H3O2)2
Strontium Dihydrogen Phosphate	Sr(H2PO4)2
Strontium Carbonate	SrCO3
Strontium Sulfite	SrSO3
Strontium Sulfate	SrSO4
Strontium Thiosulfate	SrS2O3
Strontium Peroxide	SrO2
Strontium Chromate	SrCrO4
Strontium Dichromate	SrCr2O7
Strontium Hydrogen Phosphate	SrHPO4
Strontium Phosphate	Sr3(PO4)2
Strontium Arsenate	Sr3(AsO4)2
Strontium Nitride	Sr3N2
Strontium Phosphide	Sr3P2
Strontium Arsenide	Sr3As2
Strontium Oxide	SrO
Strontium Sulfide	SrS
Strontium Selenide	SrSe
Strontium Telluride	SrTe
Strontium Fluoride	SrF2
Strontium Chloride	SrCl2
Strontium Bromide	SrBr2
Strontium Iodide	SrI2
Barium Nitrite	Ba(NO2)2
Barium Nitrate	Ba(NO3)2
Barium Hydrogen Sulfate	Ba(HSO4)2
Barium Hydroxide	Ba(OH)2
Barium Cyanide	Ba(CN)2
Barium Permanganate	Ba(MnO4)2
Barium Hydrogen Carbonate	Ba(HCO3)2
Barium Hypochlorite	Ba(ClO)2
Barium Chlorite	Ba(ClO2)2
Barium Chlorate	Ba(ClO3)2
Barium Perchlorate	Ba(ClO4)2
Barium Bromate	Ba(BrO3)2
Barium Iodate	Ba(IO3)2
Barium Periodate	Ba(IO4)2
Barium Acetate	Ba(C2H3O2)2
Barium Dihydrogen Phosphate	Ba(H2PO4)2
Barium Carbonate	BaCO3
Barium Sulfite	BaSO3
Barium Sulfate	BaSO4
Barium Thiosulfate	BaS2O3
Barium Peroxide	BaO2
Barium Chromate	BaCrO4
Barium Dichromate	BaCr2O7
Barium Hydrogen Phosphate	BaHPO4
Barium Phosphate	Ba3(PO4)2
Barium Arsenate	Ba3(AsO4)2
Barium Nitride	Ba3N2
Barium Phosphide	Ba3P2
Barium Arsenide	Ba3As2
Barium Oxide	BaO
Barium Sulfide	BaS
Barium Selenide	BaSe
Barium Telluride	BaTe
Barium Fluoride	BaF2
Barium Chloride	BaCl2
Barium Bromide	BaBr2
Barium Iodide	BaI2
Scandium Nitrite	Sc(NO2)3
Scandium Nitrate	Sc(NO3)3
Scandium Hydrogen Sulfate	Sc(HSO4)3
Scandium Hydroxide	Sc(OH)3
Scandium Cyanide	Sc(CN)3
Scandium Permanganate	Sc(MnO4)3
Scandium Hydrogen Carbonate	Sc(HCO3)3
Scandium Hypochlorite	Sc(ClO)3
Scandium Chlorite	Sc(ClO2)3
Scandium Chlorate	Sc(ClO3)3
Scandium Perchlorate	Sc(ClO4)3
Scandium Bromate	Sc(BrO3)3
Scandium Iodate	Sc(IO3)3
Scandium Periodate	Sc(IO4)3
